# Matter power spectrum P(k) at redshift z=0
# for k=1.89347e-07 to 11.9607 h/Mpc,
# number of wavenumbers equal to 140
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.893467496004e-07       1.563982906453e+00 
       2.383734347125e-07       1.951290821700e+00 
       3.000943744563e-07       2.434512457451e+00 
       3.777964339395e-07       3.037400081485e+00 
       4.756175311716e-07       3.789588020347e+00 
       5.987669962868e-07       4.728049302356e+00 
       7.538029873691e-07       5.898913026230e+00 
       9.489817362853e-07       7.359731783089e+00 
       1.194697223138e-06       9.182310581901e+00 
       1.504034693609e-06       1.145623632554e+01 
       1.893467496004e-06       1.429328130921e+01 
       2.383734347125e-06       1.783289716941e+01 
       3.000943744563e-06       2.224906927772e+01 
       3.777964339395e-06       2.775886840195e+01 
       4.756175311716e-06       3.463311977865e+01 
       5.987669962868e-06       4.320971363293e+01 
       7.538029873691e-06       5.391021062713e+01 
       9.489817362853e-06       6.726055691341e+01 
       1.194697223138e-05       8.391692395245e+01 
       1.504034693609e-05       1.046979372036e+02 
       1.893467496004e-05       1.306248658646e+02 
       2.383734347125e-05       1.629717255757e+02 
       3.000943744563e-05       2.033277101669e+02 
       3.777964339395e-05       2.536749292275e+02 
       4.756175311716e-05       3.164850912046e+02 
       5.987669962868e-05       3.948395277195e+02 
       7.538029873691e-05       4.925777589864e+02 
       9.489817362853e-05       6.144805376101e+02 
       1.194697223138e-04       7.664937233444e+02 
       1.504034693609e-04       9.559989332477e+02 
       1.893467496004e-04       1.192134774420e+03 
       2.383734347125e-04       1.486167165028e+03 
       3.000943744563e-04       1.851896976689e+03 
       3.777964339395e-04       2.306076863334e+03 
       4.756175311716e-04       2.868788601223e+03 
       5.987669962868e-04       3.563712691750e+03 
       7.538029873691e-04       4.418193770529e+03 
       9.489817362853e-04       5.462897966105e+03 
       1.194697223138e-03       6.730607008010e+03 
       1.504034693609e-03       8.253610167836e+03 
       1.893467496004e-03       1.005934203675e+04 
       2.383734347125e-03       1.216357084335e+04 
       3.000943744563e-03       1.456109889265e+04 
       3.777964339395e-03       1.721437124490e+04 
       4.756175311716e-03       2.003913319949e+04 
       5.987669962868e-03       2.282659711136e+04 
       7.538029873691e-03       2.545720418851e+04 
       9.489817362853e-03       2.758098319460e+04 
       1.194697223138e-02       2.880973021897e+04 
       1.504034693608e-02       2.870728605380e+04 
       1.893467490912e-02       2.690135917555e+04 
       2.383729239408e-02       2.333070569036e+04 
       3.000058649379e-02       1.859502496108e+04 
       3.742030735192e-02       1.417649823218e+04 
       4.406570974981e-02       1.174696045547e+04 
       4.883240269050e-02       1.069421688919e+04 
       5.269913315278e-02       1.010436654868e+04 
       5.612173909352e-02       9.686400405421e+03 
       5.929797541389e-02       9.327753079771e+03 
       6.233022433199e-02       8.974926596236e+03 
       6.527891458806e-02       8.601051277121e+03 
       6.818327359607e-02       8.194613033540e+03 
       7.107069075640e-02       7.754528334303e+03 
       7.396144420828e-02       7.287287362146e+03 
       7.687129932607e-02       6.804709127886e+03 
       7.981303540543e-02       6.321812773348e+03 
       8.279739152447e-02       5.854722482210e+03 
