# Matter power spectrum P(k) at redshift z=1.5
# for k=2.09814e-07 to 10.5263 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.098140192535e-07       3.222935872827e-01 
       2.641402005889e-07       4.012745940609e-01 
       3.325328107978e-07       4.996106225367e-01 
       4.186340057686e-07       6.220447985882e-01 
       5.270289881033e-07       7.744825945623e-01 
       6.634901858755e-07       9.642766723908e-01 
       8.352846554746e-07       1.200581530915e+00 
       1.051561078859e-06       1.494795061436e+00 
       1.323836964229e-06       1.861108310130e+00 
       1.666611995340e-06       2.317189963675e+00 
       2.098140192535e-06       2.885038570857e+00 
       2.641402005889e-06       3.592043603494e+00 
       3.325328107978e-06       4.472306527546e+00 
       4.186340057686e-06       5.568285596903e+00 
       5.270289881033e-06       6.932843666874e+00 
       6.634901858755e-06       8.631797762667e+00 
       8.352846554746e-06       1.074709327095e+01 
       1.051561078859e-05       1.338075564795e+01 
       1.323836964229e-05       1.665980986942e+01 
       1.666611995340e-05       2.074240410682e+01 
       2.098140192535e-05       2.582543146059e+01 
       2.641402005889e-05       3.215401430928e+01 
       3.325328107978e-05       4.003330273675e+01 
       4.186340057686e-05       4.984314423843e+01 
       5.270289881033e-05       6.205630891262e+01 
       6.634901858755e-05       7.726110319488e+01 
       8.352846554746e-05       9.618937251139e+01 
       1.051561078859e-04       1.197510664736e+02 
       1.323836964229e-04       1.490766882860e+02 
       1.666611995340e-04       1.855690061827e+02 
       2.098140192535e-04       2.309652365863e+02 
       2.641402005889e-04       2.874102754556e+02 
       3.325328107978e-04       3.575400614203e+02 
       4.186340057686e-04       4.445712681161e+02 
       5.270289881033e-04       5.523888214196e+02 
       6.634901858755e-04       6.856166605956e+02 
       8.352846554746e-04       8.496519922020e+02 
       1.051561078859e-03       1.050640799348e+03 
       1.323836964229e-03       1.295359390927e+03 
       1.666611995340e-03       1.590902402790e+03 
       2.098140192535e-03       1.943992666419e+03 
       2.641402005889e-03       2.359834755305e+03 
       3.325328107978e-03       2.840499190355e+03 
       4.186340057686e-03       3.382717683812e+03 
       5.270289881033e-03       3.971309353200e+03 
       6.634901858755e-03       4.588676607111e+03 
       8.352846554746e-03       5.193572348573e+03 
       1.051561078859e-02       5.728357204606e+03 
       1.323836964229e-02       6.114937898117e+03 
       1.666611995337e-02       6.259254160623e+03 
       2.098140171937e-02       6.071122378881e+03 
       2.641387140479e-02       5.512183095331e+03 
       3.323357968019e-02       4.670533144643e+03 
       4.123299361229e-02       3.834604539504e+03 
       4.790632219269e-02       3.354290287530e+03 
       5.275920367973e-02       3.110369172813e+03 
       5.677246018531e-02       2.952920720728e+03 
       6.036109956609e-02       2.830947919332e+03 
       6.371102674430e-02       2.723120326797e+03 
       6.692101071878e-02       2.618802964316e+03 
       7.005043409568e-02       2.512435459593e+03 
       7.313838240686e-02       2.401452600247e+03 
       7.621244612034e-02       2.285339904748e+03 
       7.929323714499e-02       2.165085027590e+03 
       8.239690320693e-02       2.042758031087e+03 
       8.553661991220e-02       1.921122040379e+03 
       8.872352263282e-02       1.803247128645e+03 
       9.196731331326e-02       1.692135883672e+03 
       9.527666941147e-02       1.590383004733e+03 
       9.865952743487e-02       1.499893546072e+03 
       1.021232841748e-01       1.421677364636e+03 
       1.056749422534e-01       1.355727202639e+03 
       1.093212169616e-01       1.300982681794e+03 
       1.130686155477e-01       1.255386521003e+03 
       1.169234964907e-01       1.216048674157e+03 
       1.208921139910e-01       1.179543517612e+03 
       1.249806514135e-01       1.142354362037e+03 
       1.291952464314e-01       1.101440186179e+03 
       1.335420099682e-01       1.054832570401e+03 
       1.380270405956e-01       1.002106942126e+03 
       1.426564357595e-01       9.445515816486e+02 
       1.474363010126e-01       8.849179672891e+02 
       1.523727583097e-01       8.267685811813e+02 
       1.574719543447e-01       7.735882003472e+02 
       1.627400698563e-01       7.279099895293e+02 
       1.681833308004e-01       6.906876756641e+02 
       1.738080222677e-01       6.610553854668e+02 
       1.796205060114e-01       6.365352423711e+02 
       1.856272424417e-01       6.137054397338e+02 
       1.918348179389e-01       5.892536575848e+02 
       1.982499783411e-01       5.611420517287e+02 
