# Matter power spectrum P(k) at redshift z=1
# for k=1.56159e-07 to 12.4214 h/Mpc,
# number of wavenumbers equal to 141
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.561592837023e-07       1.528045752802e+00 
       1.965928905404e-07       1.906059078446e+00 
       2.474957856794e-07       2.377586666857e+00 
       3.115787339038e-07       2.965762402718e+00 
       3.922543858861e-07       3.699443110282e+00 
       4.938190142798e-07       4.614624311965e+00 
       6.216813059040e-07       5.756206220598e+00 
       7.826503940399e-07       7.180196604681e+00 
       9.852984696075e-07       8.956458597927e+00 
       1.240417281591e-06       1.117213825598e+01 
       1.561592837023e-06       1.393594000172e+01 
       1.965928905404e-06       1.738345968295e+01 
       2.474957856794e-06       2.168383681632e+01 
       3.115787339038e-06       2.704805224432e+01 
       3.922543858861e-06       3.373927800156e+01 
       4.938190142798e-06       4.208578662017e+01 
       6.216813059040e-06       5.249705208578e+01 
       7.826503940399e-06       6.548383013906e+01 
       9.852984696075e-06       8.168319875071e+01 
       1.240417281591e-05       1.018897784897e+02 
       1.561592837023e-05       1.270946474290e+02 
       1.965928905404e-05       1.585338257306e+02 
       2.474957856794e-05       1.977486416075e+02 
       3.115787339038e-05       2.466608078326e+02 
       3.922543858861e-05       3.076656311385e+02 
       4.938190142798e-05       3.837474131892e+02 
       6.216813059040e-05       4.786216957399e+02 
       7.826503940399e-05       5.969093536755e+02 
       9.852984696075e-05       7.443472386846e+02 
       1.240417281591e-04       9.280383198880e+02 
       1.561592837023e-04       1.156739599446e+03 
       1.965928905404e-04       1.441176094206e+03 
       2.474957856794e-04       1.794350550101e+03 
       3.115787339038e-04       2.231788528864e+03 
       3.922543858861e-04       2.771619951604e+03 
       4.938190142798e-04       3.434368992669e+03 
       6.216813059040e-04       4.242335112287e+03 
       7.826503940399e-04       5.218468211832e+03 
       9.852984696075e-04       6.384419763062e+03 
       1.240417281591e-03       7.756861710388e+03 
       1.561592837023e-03       9.341520803849e+03 
       1.965928905404e-03       1.112577753634e+04 
       2.474957856794e-03       1.307043143337e+04 
