# Matter power spectrum P(k) at redshift z=2.5
# for k=7.86767e-06 to 12.4868 h/Mpc,
# number of wavenumbers equal to 124
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       7.867672828597e-06       2.191050764363e+01 
       9.904813255603e-06       2.730242974623e+01 
       1.246942110655e-05       3.402119098920e+01 
       1.569807110140e-05       4.239324310310e+01 
       1.976270062571e-05       5.282531552903e+01 
       2.487976602339e-05       6.582410067933e+01 
       3.132176968633e-05       8.202071402875e+01 
       3.943177180049e-05       1.022010842604e+02 
       4.964165955170e-05       1.273435386219e+02 
       6.249514669328e-05       1.586651803633e+02 
       7.867672828597e-05       1.976787256986e+02 
       9.904813255603e-05       2.462614770778e+02 
       1.246942110655e-04       3.067376759274e+02 
       1.569807110140e-04       3.819741618322e+02 
       1.976270062571e-04       4.754863410698e+02 
       2.487976602339e-04       5.915455556923e+02 
       3.132176968633e-04       7.352684704628e+02 
       3.943177180049e-04       9.126529689291e+02 
       4.964165955170e-04       1.130506199394e+03 
       6.249514669328e-04       1.396201621478e+03 
       7.867672828597e-04       1.717224954101e+03 
       9.904813255603e-04       2.100508377551e+03 
       1.246942110655e-03       2.551440965143e+03 
       1.569807110140e-03       3.072104517268e+03 
       1.976270062571e-03       3.658593679155e+03 
       2.487976602339e-03       4.298362103034e+03 
       3.132176968633e-03       4.967722656371e+03 
       3.943177180049e-03       5.629161543540e+03 
       4.964165955170e-03       6.230305544670e+03 
       6.249514669328e-03       6.704365314335e+03 
       7.867672828597e-03       6.971136437786e+03 
       9.904813255603e-03       6.943482861505e+03 
       1.246942110655e-02       6.537361479735e+03 
       1.569807109953e-02       5.702135887157e+03 
       1.976269654719e-02       4.480763891346e+03 
       2.487843567882e-02       3.086910611556e+03 
       3.122965635235e-02       1.907067728779e+03 
       3.785798627309e-02       1.298123189803e+03 
       4.270979299971e-02       1.118723314765e+03 
       4.645361702973e-02       1.066319073863e+03 
       4.967915715398e-02       1.050268869995e+03 
       5.262761927473e-02       1.041171180409e+03 
       5.541623061479e-02       1.025912762980e+03 
       5.811113334806e-02       9.980057514056e+02 
       6.075385973083e-02       9.548746422911e+02 
       6.337266672749e-02       8.968025012991e+02 
       6.598803744190e-02       8.262689157733e+02 
       6.861561584662e-02       7.473361819910e+02 
       7.126789070245e-02       6.649363809783e+02 
       7.395521918079e-02       5.841260247076e+02 
       7.668647880976e-02       5.094357615533e+02 
       7.946949887989e-02       4.443637543515e+02 
       8.231135507164e-02       3.911052568399e+02 
       8.521857598634e-02       3.505853530418e+02 
       8.819729104189e-02       3.225887040339e+02 
       9.125333820007e-02       3.060231944543e+02 
       9.439234346620e-02       2.990617424948e+02 
       9.761978010577e-02       2.991713936044e+02 
       1.009410130097e-01       3.031522818075e+02 
       1.043613320245e-01       3.072123012137e+02 
       1.078859770096e-01       3.074458160895e+02 
       1.115201566838e-01       3.006163164531e+02 
