# Matter power spectrum P(k) at redshift z=1
# for k=2.0951e-07 to 10.5113 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.095096098766e-07       4.848923114984e-01 
       2.637569718888e-07       6.048466751872e-01 
       3.320503544486e-07       7.544757706178e-01 
       4.180266292107e-07       9.411206369477e-01 
       5.262643463200e-07       1.173938365101e+00 
       6.625275589034e-07       1.464351358593e+00 
       8.340727799175e-07       1.826607734542e+00 
       1.050035417924e-06       2.278480356826e+00 
       1.321916270908e-06       2.842138798530e+00 
       1.664193985711e-06       3.545237011159e+00 
       2.095096098766e-06       4.422270060901e+00 
       2.637569718888e-06       5.516266490766e+00 
       3.320503544486e-06       6.880899330051e+00 
       4.180266292107e-06       8.583119298992e+00 
       5.262643463200e-06       1.070643936219e+01 
       6.625275589034e-06       1.335503170219e+01 
       8.340727799175e-06       1.665883796705e+01 
       1.050035417924e-05       2.077994321969e+01 
       1.321916270908e-05       2.592052572910e+01 
       1.664193985711e-05       3.233277149446e+01 
       2.095096098766e-05       4.033123767398e+01 
       2.637569718888e-05       5.030826704679e+01 
       3.320503544486e-05       6.275320098515e+01 
       4.180266292107e-05       7.827631622150e+01 
       5.262643463200e-05       9.763862559203e+01 
       6.625275589034e-05       1.217889374500e+02 
       8.340727799175e-05       1.519098593606e+02 
       1.050035417924e-04       1.894747432337e+02 
       1.321916270908e-04       2.363178583455e+02 
       1.664193985711e-04       2.947202524027e+02 
       2.095096098766e-04       3.675136322420e+02 
       2.637569718888e-04       4.582038283691e+02 
       3.320503544486e-04       5.711134649859e+02 
       4.180266292107e-04       7.115396602946e+02 
       5.262643463200e-04       8.859165098315e+02 
       6.625275589034e-04       1.101964538024e+03 
       8.340727799175e-04       1.368802492865e+03 
       1.050035417924e-03       1.696987883654e+03 
       1.321916270908e-03       2.098413361930e+03 
       1.664193985711e-03       2.585880136917e+03 
       2.095096098766e-03       3.172116844273e+03 
       2.637569718888e-03       3.868120858956e+03 
       3.320503544486e-03       4.680621006464e+03 
       4.180266292107e-03       5.608436963595e+03 
       5.262643463200e-03       6.624068867728e+03 
       6.625275589034e-03       7.714373719916e+03 
       8.340727799175e-03       8.809312712581e+03 
       1.050035417924e-02       9.812903606247e+03 
       1.321916270908e-02       1.058888640202e+04 
       1.664193985701e-02       1.096582214344e+04 
       2.095096054509e-02       1.077047944350e+04 
       2.637543491837e-02       9.914602070472e+03 
       3.317543015432e-02       8.536213439948e+03 
       4.098544935755e-02       7.154941562591e+03 
       4.724481443949e-02       6.369289435443e+03 
       5.185371233197e-02       5.952440391907e+03 
       5.570699311865e-02       5.675462784153e+03 
       5.917258360933e-02       5.457962034204e+03 
       6.241862594767e-02       5.264787308101e+03 
       6.553582360826e-02       5.077770229847e+03 
       6.857930918701e-02       4.887048554720e+03 
       7.158567165634e-02       4.687790714514e+03 
       7.458090933234e-02       4.478702071086e+03 
       7.758455055059e-02       4.261159143530e+03 
       8.061196500615e-02       4.038543505054e+03 
       8.367574355186e-02       3.815606974421e+03 
       8.678656414917e-02       3.597819987107e+03 
       8.995375798549e-02       3.390712835028e+03 
       9.318569224893e-02       3.199249977022e+03 
       9.649003624303e-02       3.027284852541e+03 
       9.987395067514e-02       2.877134248393e+03 
       1.033442248046e-01       2.749296760338e+03 
       1.069073772519e-01       2.642327614594e+03 
       1.105697308823e-01       2.552884508011e+03 
       1.143374688194e-01       2.475974425072e+03 
       1.182166765006e-01       2.405445250330e+03 
       1.222133732895e-01       2.334755661355e+03 
       1.263335362462e-01       2.257995016025e+03 
       1.305831180425e-01       2.171011462279e+03 
       1.349680606033e-01       2.072380432389e+03 
       1.394943057865e-01       1.963880014514e+03 
       1.441678042351e-01       1.850212403341e+03 
       1.489945234207e-01       1.737931285665e+03 
