# Matter power spectrum P(k) at redshift z=1
# for k=2.15126e-07 to 10.7928 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.151255562879e-07       3.917229495303e-01 
       2.708270295372e-07       4.886287491088e-01 
       3.409510296851e-07       6.095074456619e-01 
       4.292319154479e-07       7.602895384717e-01 
       5.403709659105e-07       9.483726342719e-01 
       6.802867407805e-07       1.182984385339e+00 
       8.564302652751e-07       1.475635211914e+00 
       1.078181824384e-06       1.840683020597e+00 
       1.357350497252e-06       2.296037623424e+00 
       1.708803033702e-06       2.864039417755e+00 
       2.151255562879e-06       3.572555431956e+00 
       2.708270295372e-06       4.456346508392e+00 
       3.409510296851e-06       5.558772691513e+00 
       4.292319154479e-06       6.933920472453e+00 
       5.403709659105e-06       8.649256223686e+00 
       6.802867407805e-06       1.078893594078e+01 
       8.564302652751e-06       1.345793354894e+01 
       1.078181824384e-05       1.678719005155e+01 
       1.357350497252e-05       2.094003566826e+01 
       1.708803033702e-05       2.612019903031e+01 
       2.151255562879e-05       3.258179446197e+01 
       2.708270295372e-05       4.064177346122e+01 
       3.409510296851e-05       5.069544369449e+01 
       4.292319154479e-05       6.323580187345e+01 
       5.403709659105e-05       7.887759943653e+01 
       6.802867407805e-05       9.838726334951e+01 
       8.564302652751e-05       1.227200253678e+02 
       1.078181824384e-04       1.530658562897e+02 
       1.357350497252e-04       1.909060199003e+02 
       1.708803033702e-04       2.380821708445e+02 
       2.151255562879e-04       2.968797594178e+02 
       2.708270295372e-04       3.701267809295e+02 
       3.409510296851e-04       4.613071536110e+02 
       4.292319154479e-04       5.746846459603e+02 
       5.403709659105e-04       7.154279614445e+02 
       6.802867407805e-04       8.897210766674e+02 
       8.564302652751e-04       1.104837361821e+03 
       1.078181824384e-03       1.369149221615e+03 
       1.357350497252e-03       1.692012847588e+03 
       1.708803033702e-03       2.083378117607e+03 
       2.151255562879e-03       2.552931762553e+03 
