# Matter power spectrum P(k) at redshift z=1.5
# for k=2.04517e-07 to 10.2607 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.045169608391e-07       2.471730969781e-01 
       2.574715991432e-07       3.083196461179e-01 
       3.241375389767e-07       3.845928432477e-01 
       4.080649847342e-07       4.797347715926e-01 
       5.137233789453e-07       5.984132438399e-01 
       6.467394163870e-07       7.464508122962e-01 
       8.141966860985e-07       9.311104319736e-01 
       1.025012898328e-06       1.161451792058e+00 
       1.290414785122e-06       1.448775796371e+00 
       1.624535964745e-06       1.807179002044e+00 
       2.045169608391e-06       2.254245211300e+00 
       2.574715991432e-06       2.811908149037e+00 
       3.241375389767e-06       3.507527543013e+00 
       4.080649847342e-06       4.375231389805e+00 
       5.137233789453e-06       5.457590235125e+00 
       6.467394163870e-06       6.807705572923e+00 
       8.141966860985e-06       8.491814733350e+00 
       1.025012898328e-05       1.059253988013e+01 
       1.290414785122e-05       1.321294020039e+01 
       1.624535964745e-05       1.648156538751e+01 
       2.045169608391e-05       2.055875705677e+01 
       2.574715991432e-05       2.564450459101e+01 
       3.241375389767e-05       3.198823567742e+01 
       4.080649847342e-05       3.990101160788e+01 
       5.137233789453e-05       4.977070547845e+01 
       6.467394163870e-05       6.208086802366e+01 
       8.141966860985e-05       7.743412837752e+01 
       1.025012898328e-04       9.658112373311e+01 
       1.290414785122e-04       1.204560764615e+02 
       1.624535964745e-04       1.502201798550e+02 
       2.045169608391e-04       1.873137989412e+02 
       2.574715991432e-04       2.335179280167e+02 
       3.241375389767e-04       2.910240252938e+02 
       4.080649847342e-04       3.625087997803e+02 
       5.137233789453e-04       4.512063931635e+02 
       6.467394163870e-04       5.609650957944e+02 
       8.141966860985e-04       6.962713110302e+02 
       1.025012898328e-03       8.622215037540e+02 
       1.290414785122e-03       1.064411628447e+03 
       1.624535964745e-03       1.308657923581e+03 
       2.045169608391e-03       1.600394955807e+03 
       2.574715991432e-03       1.943700568769e+03 
       3.241375389767e-03       2.339943948653e+03 
       4.080649847342e-03       2.785954676211e+03 
       5.137233789453e-03       3.271732210058e+03 
       6.467394163870e-03       3.773948499653e+03 
       8.141966860985e-03       4.267736882909e+03 
       1.025012898328e-02       4.705462215304e+03 
       1.290414785122e-02       5.028609999208e+03 
       1.624535964737e-02       5.169644481527e+03 
       2.045169570733e-02       5.066806904989e+03 
       2.574692869807e-02       4.695913700673e+03 
       3.238688923399e-02       4.116491753372e+03 
       4.004470700930e-02       3.523467046889e+03 
       4.622501131266e-02       3.159630031603e+03 
       5.076470359951e-02       2.947354248244e+03 
       5.455281911371e-02       2.793370152265e+03 
       5.795630950675e-02       2.665041069992e+03 
       6.114226456546e-02       2.548670306429e+03 
       6.420057452935e-02       2.437658052935e+03 
       6.718577071577e-02       2.328786982343e+03 
       7.013398939324e-02       2.220761466122e+03 
       7.307087685437e-02       2.113499810028e+03 
       7.601567813539e-02       2.007710039619e+03 
       7.898352733026e-02       1.904580181796e+03 
       8.198681336726e-02       1.805518784496e+03 
       8.503603641280e-02       1.711926188527e+03 
       8.814036734661e-02       1.624994951544e+03 
       9.130802582151e-02       1.545545364202e+03 
