# Matter power spectrum P(k) at redshift z=1.5
# for k=2.09114e-07 to 10.4912 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.091139224469e-07       2.810886687268e-01 
       2.632588309284e-07       3.508434220320e-01 
       3.314232321349e-07       4.379084624340e-01 
       4.172371289936e-07       5.465794977603e-01 
       5.252704244341e-07       6.822182551665e-01 
       6.612762853840e-07       8.515170234765e-01 
       8.324975198868e-07       1.062828844449e+00 
       1.048052283041e-06       1.326579642937e+00 
       1.319419652009e-06       1.655782630568e+00 
       1.661050928735e-06       2.066680362534e+00 
       2.091139224469e-06       2.579546123565e+00 
       2.632588309284e-06       3.219684179503e+00 
       3.314232321349e-06       4.018678241558e+00 
       4.172371289936e-06       5.015949726601e+00 
       5.252704244341e-06       6.260702674052e+00 
       6.612762853840e-06       7.814351230886e+00 
       8.324975198868e-06       9.753549378784e+00 
       1.048052283041e-05       1.217397220168e+01 
       1.319419652009e-05       1.519503488860e+01 
       1.661050928735e-05       1.896578155183e+01 
       2.091139224469e-05       2.367223298458e+01 
       2.632588309284e-05       2.954655297970e+01 
       3.314232321349e-05       3.687847981381e+01 
       4.172371289936e-05       4.602957566867e+01 
       5.252704244341e-05       5.745097484161e+01 
       6.612762853840e-05       7.170546275780e+01 
       8.324975198868e-05       8.949488885061e+01 
       1.048052283041e-04       1.116940966917e+02 
       1.319419652009e-04       1.393927143022e+02 
       1.661050928735e-04       1.739462231309e+02 
       2.091139224469e-04       2.170375879159e+02 
       2.632588309284e-04       2.707501476592e+02 
       3.314232321349e-04       3.376510537990e+02 
       4.172371289936e-04       4.208817668939e+02 
       5.252704244341e-04       5.242475541928e+02 
       6.612762853840e-04       6.522919546086e+02 
       8.324975198868e-04       8.103369668429e+02 
       1.048052283041e-03       1.004467003942e+03 
       1.319419652009e-03       1.241421743423e+03 
       1.661050928735e-03       1.528300135386e+03 
       2.091139224469e-03       1.871894477430e+03 
       2.632588309284e-03       2.277575378433e+03 
       3.314232321349e-03       2.747708990085e+03 
       4.172371289936e-03       3.279480387102e+03 
       5.252704244341e-03       3.858310749633e+03 
       6.612762853840e-03       4.467558590294e+03 
       8.324975198868e-03       5.067110790758e+03 
       1.048052283041e-02       5.600812226263e+03 
       1.319419652009e-02       5.992391877872e+03 
       1.661050928731e-02       6.149811397155e+03 
       2.091139201838e-02       5.984508967150e+03 
       2.632572379285e-02       5.457836920474e+03 
       3.312163588632e-02       4.653374375364e+03 
       4.107387848740e-02       3.849662873183e+03 
       4.767319928917e-02       3.385083262887e+03 
       5.247914673715e-02       3.145176828801e+03 
       5.645919143324e-02       2.987799178757e+03 
       6.002078765332e-02       2.864371380951e+03 
       6.334691510579e-02       2.754519981673e+03 
       6.653497754377e-02       2.648114940578e+03 
       6.964361819105e-02       2.539907745376e+03 
       7.271147635560e-02       2.427531572802e+03 
       7.576585019614e-02       2.310583538807e+03 
       7.882714726200e-02       2.190086633170e+03 
       8.191136451078e-02       2.068077636746e+03 
       8.503156109627e-02       1.947227836134e+03 
       8.819877877962e-02       1.830470683880e+03 
       9.142264156531e-02       1.720644033121e+03 
       9.471175997753e-02       1.620167102719e+03 
       9.807401145838e-02       1.530774562323e+03 
       1.015167394309e-01       1.453323875808e+03 
