# Matter power spectrum P(k) at redshift z=1
# for k=2.23917e-07 to 11.2371 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.239170190937e-07       3.276898306383e-01 
       2.818948254702e-07       4.087548923748e-01 
       3.548845592377e-07       5.098741138244e-01 
       4.467731898777e-07       6.360085633920e-01 
       5.624541220454e-07       7.933465958842e-01 
       7.080877872114e-07       9.896074628037e-01 
       8.914297091015e-07       1.234420030735e+00 
       1.122243513616e-06       1.539795188209e+00 
       1.412820877513e-06       1.920715117662e+00 
       1.778636105014e-06       2.395868342874e+00 
       2.239170190937e-06       2.988566613135e+00 
       2.818948254702e-06       3.727888605785e+00 
       3.548845592377e-06       4.650106554956e+00 
       4.467731898777e-06       5.800465792328e+00 
       5.624541220454e-06       7.235404487374e+00 
       7.080877872114e-06       9.025322463990e+00 
       8.914297091015e-06       1.125803486909e+01 
       1.122243513616e-05       1.404308001457e+01 
       1.412820877513e-05       1.751709249504e+01 
       1.778636105014e-05       2.185050471034e+01 
       2.239170190937e-05       2.725590462457e+01 
       2.818948254702e-05       3.399845790337e+01 
       3.548845592377e-05       4.240890203390e+01 
       4.467731898777e-05       5.289974252952e+01 
       5.624541220454e-05       6.598543126935e+01 
       7.080877872114e-05       8.230748821380e+01 
       8.914297091015e-05       1.026657424707e+02 
       1.122243513616e-04       1.280571144241e+02 
       1.412820877513e-04       1.597236248147e+02 
       1.778636105014e-04       1.992115651214e+02 
       2.239170190937e-04       2.484439237115e+02 
       2.818948254702e-04       3.098080944147e+02 
       3.548845592377e-04       3.862603636883e+02 
       4.467731898777e-04       4.814473536423e+02 
       5.624541220454e-04       5.998421968930e+02 
       7.080877872114e-04       7.468898011012e+02 
       8.914297091015e-04       9.291516392019e+02 
       1.122243513616e-03       1.154434491182e+03 
       1.412820877513e-03       1.431867571314e+03 
       1.778636105014e-03       1.771834330471e+03 
       2.239170190937e-03       2.185639279710e+03 
       2.818948254702e-03       2.684813373377e+03 
       3.548845592377e-03       3.279778248215e+03 
       4.467731898777e-03       3.967021076729e+03 
