# Matter power spectrum P(k) at redshift z=2.5
# for k=2.11055e-07 to 10.5928 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.110553101006e-07       1.707122114981e-01 
       2.657028931797e-07       2.129435980690e-01 
       3.345001242112e-07       2.656223332616e-01 
       4.211107066178e-07       3.313329188071e-01 
       5.301469697397e-07       4.132992194148e-01 
       6.674154921910e-07       5.155426301866e-01 
       8.402263233444e-07       6.430793727598e-01 
       1.057782270117e-06       8.021665980438e-01 
       1.331668979995e-06       1.000609370425e+00 
       1.676471919014e-06       1.248143594246e+00 
       2.110553101006e-06       1.556913666548e+00 
       2.657028931797e-06       1.942068290279e+00 
       3.345001242112e-06       2.422503670847e+00 
       4.211107066178e-06       3.021790553669e+00 
       5.301469697397e-06       3.769330556885e+00 
       6.674154921910e-06       4.701798496220e+00 
       8.402263233444e-06       5.864941385841e+00 
       1.057782270117e-05       7.315822209659e+00 
       1.331668979995e-05       9.125618250624e+00 
       1.676471919014e-05       1.138311063658e+01 
       2.110553101006e-05       1.419903511070e+01 
       2.657028931797e-05       1.771150504638e+01 
       3.345001242112e-05       2.209276805693e+01 
       4.211107066178e-05       2.755761829364e+01 
       5.301469697397e-05       3.437385861446e+01 
       6.674154921910e-05       4.287528950235e+01 
       8.402263233444e-05       5.347778991916e+01 
       1.057782270117e-04       6.669913789871e+01 
       1.331668979995e-04       8.318326638721e+01 
       1.676471919014e-04       1.037296054627e+02 
       2.110553101006e-04       1.293279099504e+02 
       2.657028931797e-04       1.611983007019e+02 
       3.345001242112e-04       2.008348008029e+02 
       4.211107066178e-04       2.500479015891e+02 
       5.301469697397e-04       3.109971300564e+02 
       6.674154921910e-04       3.861983805938e+02 
       8.402263233444e-04       4.784853782156e+02 
       1.057782270117e-03       5.909058956905e+02 
       1.331668979995e-03       7.265427849849e+02 
       1.676471919014e-03       8.882359316105e+02 
       2.110553101006e-03       1.078087044705e+03 
       2.657028931797e-03       1.296607955015e+03 
       3.345001242112e-03       1.541702626010e+03 
       4.211107066178e-03       1.807593278484e+03 
       5.301469697397e-03       2.083632137278e+03 
       6.674154921910e-03       2.353370428976e+03 
       8.402263233444e-03       2.594188179518e+03 
       1.057782270117e-02       2.777565144800e+03 
       1.331668979995e-02       2.870502269207e+03 
       1.676471919014e-02       2.839088961213e+03 
       2.110553100560e-02       2.656806840659e+03 
       2.657028088555e-02       2.321322944546e+03 
       3.344756000120e-02       1.878612397029e+03 
       4.195664899724e-02       1.438585907808e+03 
       5.062354478856e-02       1.152479346245e+03 
       5.690503471093e-02       1.024727325255e+03 
       6.179787960026e-02       9.532417186405e+02 
       6.603556629705e-02       9.015067741109e+02 
       6.992044916408e-02       8.570388768580e+02 
       7.360120331186e-02       8.145366006488e+02 
       7.716241930280e-02       7.716298854785e+02 
       8.065753973364e-02       7.274720722914e+02 
       8.412309740260e-02       6.821366159880e+02 
       8.758567622449e-02       6.362805315177e+02 
       9.106564507122e-02       5.909044750691e+02 
       9.457930949606e-02       5.471546168202e+02 
       9.814022426525e-02       5.061522467635e+02 
       1.017600316754e-01       4.688535096458e+02 
       1.054490175779e-01       4.359446242294e+02 
       1.092164918462e-01       4.077753580814e+02 
       1.130710555024e-01       3.843285363135e+02 
       1.170207922509e-01       3.652209680520e+02 
       1.210734081316e-01       3.497316396692e+02 
       1.252363346568e-01       3.368592097016e+02 
       1.295168056729e-01       3.254161358339e+02 
       1.339219149608e-01       3.141672576753e+02 
       1.384586595143e-01       3.020098043470e+02 
       1.431339720753e-01       2.881698503830e+02 
       1.479547456085e-01       2.723666663454e+02 
       1.529278517993e-01       2.548856156134e+02 
       1.580601552579e-01       2.365164456881e+02 
       1.633585248545e-01       2.183569357868e+02 
       1.688298434315e-01       2.015331194026e+02 
       1.744810170352e-01       1.869186443623e+02 
       1.803189847323e-01       1.749300927339e+02 
       1.863507300400e-01       1.654415948978e+02 
       1.925832949665e-01       1.578297068711e+02 
       1.990237976421e-01       1.511441324797e+02 
       2.056794545102e-01       1.443859730686e+02 
       2.125576080400e-01       1.368328491144e+02 
       2.196657609187e-01       1.282909544657e+02 
       2.270116176960e-01       1.191408295264e+02 
       2.346031348719e-01       1.101297816147e+02 
       2.424485804775e-01       1.020075131339e+02 
       2.505566042777e-01       9.519036982248e+01 
       2.589363198710e-01       8.960886365955e+01 
       2.675974001617e-01       8.479152957070e+01 
       2.765501879757e-01       8.013775258897e+01 
       2.858058240022e-01       7.524623204883e+01 
       2.953763947939e-01       7.011105485847e+01 
       3.052751043051e-01       6.505504737279e+01 
       3.155164734313e-01       6.045429080725e+01 
       3.261165733167e-01       5.646587929697e+01 
       3.370932999236e-01       5.295201383061e+01 
       3.484666996438e-01       4.963183007019e+01 
       3.602593588007e-01       4.632109934792e+01 
       3.724968740188e-01       4.305324804832e+01 
       3.852084260812e-01       3.998621996027e+01 
       3.984274876897e-01       3.721210808046e+01 
       4.121927064592e-01       3.467338978717e+01 
       4.265490200206e-01       3.225374242515e+01 
       4.415490825702e-01       2.991249816859e+01 
       4.572551152901e-01       2.769715969675e+01 
       4.737413427183e-01       2.564301666747e+01 
       4.910972532903e-01       2.371827862949e+01 
       5.094320417694e-01       2.188129894744e+01 
       5.288807837339e-01       2.013474201924e+01 
       5.496132112507e-01       1.848991426150e+01 
       5.718465047848e-01       1.692959121593e+01 
       5.958644851647e-01       1.543829245021e+01 
       6.220473803649e-01       1.401562233249e+01 
       6.509198101426e-01       1.265109264856e+01 
       6.832317124628e-01       1.133308532927e+01 
       7.201022835985e-01       1.005230954430e+01 
       7.632925601496e-01       8.794417327042e+00 
       8.157605925347e-01       7.543103845586e+00 
       8.828856006732e-01       6.276933831087e+00 
       9.753480483675e-01       4.971304946681e+00 
       1.115551851313e+00       3.618474618266e+00 
       1.342957050354e+00       2.320950720068e+00 
       1.679198559756e+00       1.349075064332e+00 
       2.113542597089e+00       7.655636282599e-01 
       2.660788875644e+00       4.310313735601e-01 
       3.349734726071e+00       2.410653926020e-01 
       4.217066169420e+00       1.340039112971e-01 
       5.308971763900e+00       7.407731545441e-02 
       6.683599464071e+00       4.074177975918e-02 
       8.414153207573e+00       2.230280482176e-02 
       1.059279129174e+01       1.215627988486e-02 
