# Matter power spectrum P(k) at redshift z=0
# for k=2.03696e-07 to 10.2195 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.036957418350e-07       1.176495026808e+00 
       2.564377456703e-07       1.467540499985e+00 
       3.228359945676e-07       1.830585824035e+00 
       4.064264374030e-07       2.283442574272e+00 
       5.116605700716e-07       2.848328614959e+00 
       6.441424938762e-07       3.552958141966e+00 
       8.109273543572e-07       4.431901382490e+00 
       1.020897053519e-06       5.528280660706e+00 
       1.285233243501e-06       6.895886038533e+00 
       1.618012790326e-06       8.601814324019e+00 
       2.036957418350e-06       1.072976091298e+01 
       2.564377456703e-06       1.338412595070e+01 
       3.228359945676e-06       1.669513623672e+01 
       4.064264374030e-06       2.082523409868e+01 
       5.116605700716e-06       2.597704655613e+01 
       6.441424938762e-06       3.240332550971e+01 
       8.109273543572e-06       4.041934614722e+01 
       1.020897053519e-05       5.041837088419e+01 
       1.285233243501e-05       6.289093561662e+01 
       1.618012790326e-05       7.844890072821e+01 
       2.036957418350e-05       9.785543936723e+01 
       2.564377456703e-05       1.220624195448e+02 
       3.228359945676e-05       1.522569849866e+02 
       4.064264374030e-05       1.899195626893e+02 
       5.116605700716e-05       2.368960300196e+02 
       6.441424938762e-05       2.954873596139e+02 
       8.109273543572e-05       3.685607038631e+02 
       1.020897053519e-04       4.596865175999e+02 
       1.285233243501e-04       5.733067966510e+02 
       1.618012790326e-04       7.149395276162e+02 
       2.036957418350e-04       8.914234435893e+02 
       2.564377456703e-04       1.111204263520e+03 
       3.228359945676e-04       1.384657594527e+03 
       4.064264374030e-04       1.724433748403e+03 
       5.116605700716e-04       2.145796648945e+03 
       6.441424938762e-04       2.666915021010e+03 
       8.109273543572e-04       3.309041512881e+03 
       1.020897053519e-03       4.096439039359e+03 
       1.285233243501e-03       5.055745391011e+03 
       1.618012790326e-03       6.214406109228e+03 
       2.036957418350e-03       7.597905908441e+03 
       2.564377456703e-03       9.225256375005e+03 
       3.228359945676e-03       1.110245299377e+04 
       4.064264374030e-03       1.321388001918e+04 
       5.116605700716e-03       1.551157524789e+04 
       6.441424938762e-03       1.781612734890e+04 
       8.109273543572e-03       2.011920288031e+04 
       1.020897053519e-02       2.214978278188e+04 
       1.285233243501e-02       2.363745278723e+04 
       1.618012790318e-02       2.427571625789e+04 
       2.036957378781e-02       2.379093735393e+04 
       2.564353495013e-02       2.208375094616e+04 
       3.225607010330e-02       1.942821605476e+04 
       3.987012894952e-02       1.670176589269e+04 
       4.599837266822e-02       1.501041105687e+04 
       5.050402869038e-02       1.400845654905e+04 
       5.426657196615e-02       1.327516676519e+04 
       5.764843942584e-02       1.266278001913e+04 
       6.081489800598e-02       1.210928768429e+04 
       6.385495186303e-02       1.158486610515e+04 
       6.682263601737e-02       1.107497202083e+04 
       6.975377855729e-02       1.057365978780e+04 
       7.267381877077e-02       1.008033533444e+04 
       7.560185364607e-02       9.597815880173e+03 
       7.855290573158e-02       9.130926486784e+03 
       8.153927608886e-02       8.685343761092e+03 
       8.457139294363e-02       8.266594460770e+03 
       8.765836625073e-02       7.879198305466e+03 
       9.080836252228e-02       7.525980711419e+03 
       9.402886533994e-02       7.207588448636e+03 
       9.732686061322e-02       6.922242171656e+03 
       1.007089707816e-01       6.665757888287e+03 
       1.041815534438e-01       6.431867517480e+03 
       1.077507746145e-01       6.212860559286e+03 
       1.114226635179e-01       6.000539014227e+03 
       1.152031537252e-01       5.787413400261e+03 
       1.190981140779e-01       5.567972019165e+03 
       1.231133719391e-01       5.339755715923e+03 
       1.272547307167e-01       5.103921465556e+03 
       1.315279832036e-01       4.865037931008e+03 
       1.359389220170e-01       4.630041515273e+03 
       1.404933482428e-01       4.406542850155e+03 
       1.451970792817e-01       4.200899897356e+03 
       1.500559568175e-01       4.016570043205e+03 
       1.550758557890e-01       3.853190639941e+03 
       1.602626952144e-01       3.706671368382e+03 
       1.656224517010e-01       3.570362622434e+03 
       1.711611764626e-01       3.437091898151e+03 
       1.768850166552e-01       3.301514499105e+03 
       1.828002418434e-01       3.161919912562e+03 
       1.889132764083e-01       3.020644144934e+03 
       1.952307387268e-01       2.882766271609e+03 
       2.017594879826e-01       2.753627760541e+03 
       2.085066795301e-01       2.636359223929e+03 
       2.154798298281e-01       2.530599734698e+03 
       2.226868921113e-01       2.432989961266e+03 
       2.301363441771e-01       2.339154953048e+03 
       2.378372899733e-01       2.246102217612e+03 
       2.457995770783e-01       2.153629378060e+03 
       2.540339327270e-01       2.063869083140e+03 
       2.625521217710e-01       1.979370325548e+03 
       2.713671309420e-01       1.901173612904e+03 
       2.804933850831e-01       1.828260496085e+03 
       2.899470027242e-01       1.758623645679e+03 
       2.997461006694e-01       1.690924348769e+03 
       3.099111603322e-01       1.625285081567e+03 
       3.204654727323e-01       1.562638458552e+03 
       3.314356847998e-01       1.503474782783e+03 
       3.428524776234e-01       1.447326477988e+03 
       3.547514185708e-01       1.393373055712e+03 
       3.671740454237e-01       1.341269270309e+03 
       3.801692643658e-01       1.291188256337e+03 
       3.937951789313e-01       1.243217088307e+03 
       4.081215206134e-01       1.197060523523e+03 
       4.232329351019e-01       1.152372844860e+03 
       4.392335107434e-01       1.109036166182e+03 
